index,year,month,hour,txn_type,txn_status,error_code,remitter_bank,beneficiary_bank,payer_handle,payer_app,payee_handle,payee_app,payee_requested_amount,payee_settlement_amount,difference_amount,payer_state,payee_state,cred_type,cred_subtype,time_of_day
9,2020,2,0,Reversal,Successful,0,Utkarsh Small Finance Bank,Lakshmi Vilas Bank,MAHB,BHIM Maha UPI(Bank of Maharashtra),CITI,CITI Bank (Mobile Banking App),10282,10282,0,Uttar Pradesh,Jammu and Kashmir,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
10,2020,8,0,Reversal,Successful,0,Allahabad Bank,Canara Bank,RBL,BHIM RBL Pay,APMAHESH,APMAHESH,42022,42022,0,West Bengal,Goa,Auto Loan,New Car Loan,LateNight
20,2020,2,0,Reversal,Successful,0,Utkarsh Small Finance Bank,Lakshmi Vilas Bank,MAHB,BHIM Maha UPI(Bank of Maharashtra),CITI,CITI Bank (Mobile Banking App),10282,10282,0,Uttar Pradesh,Jammu and Kashmir,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
21,2020,8,0,Reversal,Successful,0,Allahabad Bank,Canara Bank,RBL,BHIM RBL Pay,APMAHESH,APMAHESH,42022,42022,0,West Bengal,Goa,Auto Loan,New Car Loan,LateNight
29,2020,8,0,Reversal,Successful,0,Allahabad Bank,Canara Bank,RBL,BHIM RBL Pay,APMAHESH,APMAHESH,42022,42022,0,West Bengal,Goa,Auto Loan,New Car Loan,LateNight
33,2020,2,0,Reversal,Successful,0,Utkarsh Small Finance Bank,Lakshmi Vilas Bank,MAHB,BHIM Maha UPI(Bank of Maharashtra),CITI,CITI Bank (Mobile Banking App),10282,10282,0,Uttar Pradesh,Jammu and Kashmir,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
49,2022,8,0,Reversal,Successful,0,Shamrao Vithal Co-operative Bank,Syndicate Bank,WAHDFCBANK,WhatsApp Pay,KAYPAY,BHIM KOTAK Pay,40996,40996,0,Odisha,Tamil Nadu,Credit Card,Rewards Credit Card,LateNight
56,2023,1,0,Reversal,Successful,0,Kotak Mahindra Bank,Utkarsh Small Finance Bank,CSBPAY,CSB UPI,ESAF,ESAF,72426,72426,0,Telangana,Kerala,Credit Card,Secured Credit Card,LateNight
69,2021,12,0,Reversal,Successful,0,Indian Bank,Equitas Small Finance Bank,DB,BHIM Dena UPI,FREECHARGE,Freecharge,74204,74204,0,Goa,Uttar Pradesh,Home Loan,Fixed-Rate Mortgage,LateNight
77,2022,8,0,Reversal,Successful,0,Shamrao Vithal Co-operative Bank,Syndicate Bank,WAHDFCBANK,WhatsApp Pay,KAYPAY,BHIM KOTAK Pay,40996,40996,0,Odisha,Tamil Nadu,Credit Card,Rewards Credit Card,LateNight
91,2023,1,0,Reversal,Successful,0,Kotak Mahindra Bank,Utkarsh Small Finance Bank,CSBPAY,CSB UPI,ESAF,ESAF,72426,75927,-3501,Telangana,Kerala,Credit Card,Secured Credit Card,LateNight
